SpatialDimValueCode,ParentLocation,country,FactValueNumeric
CMR,Africa,Cameroon,69.79
COK,Western Pacific,Cook Islands,7.17
MYS,Western Pacific,Malaysia,7.56
CRI,Americas,Costa Rica,7.65
LSO,Africa,Lesotho,72.93
GNB,Africa,Guinea-Bissau,74.31
CIV,Africa,Côte d’Ivoire,74.79
LBR,Africa,Liberia,76.04
GNQ,Africa,Equatorial Guinea,76.78
COD,Africa,Democratic Republic of the Congo,78.96
UKR,Europe,Ukraine,8.22
LBN,Eastern Mediterranean,Lebanon,8.24
THA,South-East Asia,Thailand,8.29
KWT,Eastern Mediterranean,Kuwait,8.73
TUR,Europe,Türkiye,8.98
BFA,Africa,Burkina Faso,82.61
BEN,Africa,Benin,83.52
ALB,Europe,Albania,9.46
GEO,Europe,Georgia,9.48
MLI,Africa,Mali,97.07
SSD,Africa,South Sudan,98.69
GIN,Africa,Guinea,98.73
CAF,Africa,Central African Republic,99.92
